id,videoId,category,episode,title,order
i-p9lWIhcLQ,i-p9lWIhcLQ,Critical Role,1,Arrival at Kraghammer,1
JTie0S_5gjE,JTie0S_5gjE,Critical Role,2,Into the Greyspine Mines,2
kpkCcb--r90,kpkCcb--r90,Critical Role,3,Strange Bedfellows,3
kGxiZNbjwGI,kGxiZNbjwGI,Critical Role,4,Attack on the Duergar Warcamp,4
u6QpXDL7E8Y,u6QpXDL7E8Y,Critical Role,5,The Trick about Falling,5
cemCmD27Rnc,cemCmD27Rnc,Critical Role,6,Breaching the Emberhold,6
XGs3bOX4XFQ,XGs3bOX4XFQ,Critical Role,7,The Throne Room,7
A14MzQxxdwM,A14MzQxxdwM,Critical Role,8,Glass and Bone,8
IsLIiKFSJLQ,IsLIiKFSJLQ,Critical Role,9,Yug'voril Uncovered,9
AvnaMU7Dr-E,AvnaMU7Dr-E,Critical Role,10,K'Varn Revealed,10
xoYyHYsl5po,xoYyHYsl5po,Critical Role,11,The Temple Showdown,11
P8EcS0WYbuc,P8EcS0WYbuc,Critical Role,12,Dungeons & Dragons Campaign Tips,12
315mZGX-mjs,315mZGX-mjs,Critical Role,13,Escape from the Underdark,13
Z4tjssfei5E,Z4tjssfei5E,Critical Role,14,Shopping and Shipping,14
_dIBh0dGhzI,_dIBh0dGhzI,Critical Role,15,Skyward,15
elarLmuDtzU,elarLmuDtzU,Critical Role,16,Enter Vasselheim,16
QDdT5UqGaDw,QDdT5UqGaDw,Critical Role,17,Hubris,17
60sUkTh6xBc,60sUkTh6xBc,Critical Role,18,"Trial of the Take, pt. 1",18
IW6GgFQg3kk,IW6GgFQg3kk,Critical Role,19,"Trial of the Take, pt. 2",19
GFU_qqwSs0U,GFU_qqwSs0U,Critical Role,20,"Trial of the Take, pt. 3",20
zGaISHs2s7Q,zGaISHs2s7Q,Critical Role,21,"Trial of the Take, pt. 4",21
1GY3HTZE5R0,1GY3HTZE5R0,Critical Role,22,AraMente to Pyrah,22
FM6L4tuyXq0,FM6L4tuyXq0,Critical Role,23,The Rematch,23
kre27f30IVs,kre27f30IVs,Critical Role,24,The Feast,24
yrrB_q-V8G0,yrrB_q-V8G0,Critical Role,25,Crimson Diplomacy,25
_2CCQnD4AQ8,_2CCQnD4AQ8,Critical Role,26,Consequences and Cows,26
2mB-aM2bIBk,2mB-aM2bIBk,Critical Role,27,The Path to Whitestone,27
yE27NwtXjPY,yE27NwtXjPY,Critical Role,28,The Sun Tree,28
gq4av949-3Y,gq4av949-3Y,Critical Role,29,Whispers,29
MtS1LGdqxuI,MtS1LGdqxuI,Critical Role,30,Stoke the Flames,30
CVSgD1iB1G0,CVSgD1iB1G0,Critical Role,31.1,"Gunpowder Plot, pt. 1",31
K-k2JpMSa_k,K-k2JpMSa_k,Critical Role,31.2,"Gunpowder Plot, pt. 2",32
B5sUXSaTHKc,B5sUXSaTHKc,Critical Role,32,Against the Tide of Bone,33
EtdswJtQ_Ew,EtdswJtQ_Ew,Critical Role,33.1,"Reunions, pt. 1",34
iP1gylnxfLU,iP1gylnxfLU,Critical Role,33.2,"Reunions, pt. 2",35
2AqLu-u-GcY,2AqLu-u-GcY,Critical Role,34,Race to the Ziggurat,36
p8p5qZcqIk0,p8p5qZcqIk0,Critical Role,35.1,"Denouement, pt. 1",37
WFbmY79Qdfc,WFbmY79Qdfc,Critical Role,35.2,"Denouement, pt. 2",38
EikRMYRf5-Y,EikRMYRf5-Y,Critical Role,36,Winter's Crest in Whitestone,39
